ID_Cobranca,DataCobranca,ValorCobrado,Status,ID_Usuario,ID_UnidadeConsumidora
100577,15/03/2023,734,Aberto,5,1177
100578,15/03/2023,620,Aberto,1,1178
100579,20/03/2023,495,Pendente,2,1179
100580,20/03/2023,046,Pendente,6,1180
100581,15/03/2023,780,Fechado,1,1181
100582,20/03/2023,091,Aberto,8,1182
100583,10/03/2023,350,Aberto,9,1183
100584,20/03/2023,002,Pendente,3,1184
100585,20/03/2023,175,Aberto,8,1185
100586,15/03/2023,771,Pendente,6,1186
100587,10/03/2023,854,Pendente,1,1187
100588,15/03/2023,816,Fechado,2,1188
100589,15/03/2023,131,Aberto,2,1189
100590,20/03/2023,254,Aberto,3,1190
100591,15/03/2023,429,Aberto,6,1191
100592,20/03/2023,474,Pendente,2,1192
100593,15/03/2023,370,Pendente,7,1193
100594,10/03/2023,557,Aberto,6,1194
100595,10/03/2023,729,Pendente,1,1195
100596,15/03/2023,961,Pendente,7,1196
100597,10/03/2023,418,Fechado,4,1197
100598,15/03/2023,835,Pendente,7,1198
100599,15/03/2023,707,Fechado,3,1199
100600,15/03/2023,405,Pendente,5,1200
