ID_Cobranca,DataCobranca,ValorCobrado,Status,ID_Usuario,ID_UnidadeConsumidora
100176,15/01/2023,939,Aberto,8,1176
100177,15/01/2023,401,Aberto,3,1177
100178,10/01/2023,530,Aberto,2,1178
100179,10/01/2023,648,Fechado,7,1179
100180,20/01/2023,805,Pendente,4,1180
100181,15/01/2023,619,Pendente,2,1181
100182,20/01/2023,112,Aberto,1,1182
100183,20/01/2023,744,Aberto,7,1183
100184,20/01/2023,284,Aberto,10,1184
100185,10/01/2023,181,Pendente,10,1185
100186,10/01/2023,904,Aberto,4,1186
100187,20/01/2023,875,Aberto,8,1187
100188,20/01/2023,926,Fechado,3,1188
100189,15/01/2023,038,Pendente,1,1189
100190,10/01/2023,563,Fechado,2,1190
100191,15/01/2023,413,Pendente,6,1191
100192,20/01/2023,061,Pendente,4,1192
100193,20/01/2023,330,Pendente,6,1193
100194,20/01/2023,412,Pendente,8,1194
100195,10/01/2023,369,Aberto,5,1195
100196,15/01/2023,084,Aberto,1,1196
100197,10/01/2023,520,Pendente,7,1197
100198,20/01/2023,520,Aberto,10,1198
100199,20/01/2023,972,Pendente,10,1199
100200,10/01/2023,805,Aberto,5,1200
